service_id,date,exception_type
151,20180519,2
151,20180526,2
152,20180508,1
152,20180512,2
152,20180519,2
152,20180526,2
154,20180508,2
155,20180508,2
156,20180508,1
157,20180513,2
157,20180520,2
159,20180519,2
159,20180526,2
160,20180516,2
160,20180517,2
160,20180518,2
160,20180521,2
160,20180523,2
160,20180524,2
160,20180525,2
160,20180528,2
162,20180522,2
162,20180523,2
162,20180524,2
163,20180523,2
163,20180524,2
164,20180522,2
164,20180524,2
164,20180529,2
165,20180525,2
165,20180528,2
166,20180523,2
166,20180525,2
166,20180528,2
166,20180530,2
167,20180525,2
167,20180528,2
167,20180529,2
172,20180529,2
175,20180409,2
175,20180410,2
175,20180411,2
175,20180412,2
176,20180429,1
176,20180506,1
177,20180429,2
177,20180501,1
177,20180506,2
177,20180508,1
180,20180429,1
180,20180506,1
183,20180429,2
183,20180501,1
183,20180506,2
183,20180508,1
184,20180501,1
184,20180508,1
185,20180501,2
185,20180508,2
186,20180429,2
186,20180501,1
186,20180506,2
186,20180508,1
186,20180513,2
186,20180520,2
187,20180505,2
187,20180512,2
187,20180519,2
187,20180526,2
